Report Year,"NYC Borough, Block and Lot (BBL)",City,Primary Property Type - Portfolio Manager-Calculated,Year Built,ENERGY STAR Score,Site Energy Use (kBtu),Weather Normalized Site Energy Use (kBtu),Total (Location-Based) GHG Emissions (Metric Tons CO2e),Property GFA - Self-Reported (ft²),Address 1
2022,1-00068-0036,New York,Office,1972,62,36240351,35477452.9,2695.9,377120,100 William Street
2022,1-00068-7501,New York,Multifamily Housing,1927,55,12776246.4,12928871,897.7,200610,80 John Street
2022,1-00069-0006,New York,Multifamily Housing,2008,72,10173591.5,10036845.6,793.2,240421,201 Pearl Street
2022,1-00069-0018,New York,Multifamily Housing,2000,50,50385446.3,50950417.4,3186.6,636074,2 Gold Street
2022,1-00069-7502,New York,Multifamily Housing,1998,18,26534870.7,26931521.6,1904.6,377672,100 John Street
2022,1-00070-0032,New York,Multifamily Housing,1971,90,23197142.7,23238205.8,1616,490462,180 Water Street
2022,1-00070-7501,New York,Office,1959,78,17622991.8,17817874.3,1318.9,342371,125 Maiden Lane
2022,1-00071-0001,New York,Multifamily Housing,1917,80,4555282.3,4716327.2,264.2,62518,160 Front Street
2022,1-00072-0027,New York,Multifamily Housing,1900,99,1537756.3,1568230.8,109.4,52005,85 South Street
2022,1-00075-0001,NEW YORK,Multifamily Housing,1961,41,45362939.3,45029904.7,3031.7,541000,127 JOHN STREET
2022,1-00076-0006,New York,Multifamily Housing,2015,7,9963742.3,10002240.4,689.1,101542,56 Fulton Street
2022,1-00076-0024,New York,Multifamily Housing,2009,Not Available,4426297.1,4469688.9,298.8,57186,40 Gold Street
2022,1-00076-7502,New York,Multifamily Housing,2003,24,43781385.2,Not Available,2838.4,490941,99 John Street
2022,1-00077-0001,New York,Multifamily Housing,1926,41,10389738.7,10600271.2,712.9,156050,85 John Street
2022,1-00077-0020,New York,College/University,1942,Not Available,2921027.5,2991303.9,220.9,47500,140 William Street
2022,1-00077-7501,New York,Multifamily Housing,2017,59,22541570.7,22541570.7,1670.8,466091,130 William Street
2022,1-00078-0004,New York,Office,1912,89,23189923.2,23566491.2,1787.1,522331,123 William Street
2022,1-00078-0004,New York,Office,1912,89,23189923.2,23566491.2,1787.1,522331,123 William Street
2022,1-00078-0047,New York,Multifamily Housing,2016,69,24842440,25075736.9,1710.4,440553,19 Dutch Street
2022,1-00078-7503,New York,Multifamily Housing,1900,Not Available,Not Available,Not Available,0,39267,80 NASSAU STREET
2022,1-00078-7503; 1-00078-7504,New York,Multifamily Housing,1900,Not Available,6427090.6,6583029.2,400.8,80123,80 NASSAU STREET
2022,1-00078-7504,New York,Multifamily Housing,1900,Not Available,89204,89204,7.5,40856,9-15 Dutch St
2022,1-00078-7506,New York,Multifamily Housing,1910,Not Available,2890677.4,2951692.4,197.3,28942,102 Fulton St
2022,1-00078-7507,New York,Multifamily Housing,1909,21,7639725.4,7697038.2,568.3,105948,59 John Street
2022,1-00078-7508,New York,Multifamily Housing,1908,77,3193715.4,3193715.4,265.6,86883,"45 John St, New York, NY 10038"
2022,1-00078-7510,New York,Multifamily Housing,1929,20,2452651.3,2496669.3,157.9,25997,110 Fulton Street
2022,1-00078-7511,New York,Residence Hall/Dormitory,1900,52,8629800.1,Not Available,635.3,115376,55 John Street
2022,1-00079-0014,Manhattan,Office,1903,Not Available,200758.9,209833.1,11.6,37371,15 John Street
2022,1-00079-7503,New York,Multifamily Housing,1906,1,12523669.3,12517298.4,786.6,75314,71 & 73 Nassau Street
2022,1-00080-0001,New York,Office,1916,74,65441297.9,66622580.6,4998.8,1086572,195 Broadway
2022,1-00084-7501,New York,Mixed Use Property,1923,Not Available,110067453.3,Not Available,8356.2,967206,140 West Street
2022,1-00088-0005,New York,Office,1907,73,6829807.4,6977736.1,537.8,83500,20 Vesey Street
2022,1-00088-0010,New York,Office,1912,93,4357036.2,4575097,299.7,71959,30 Vesey Street
2022,1-00088-0014,New York,Multifamily Housing,2006,10,51416472.4,51059089.6,3340.9,520917,10 Barclay Street
2022,1-00089-0001,New York,Office,1883,86,7056547.9,Not Available,470.9,100000,139 Fulton Street
2022,1-00089-0012,New York,Office,1961,88,38705062.3,39251653,3056,736350,222 Broadway
2022,1-00090-7501,New York,Multifamily Housing,1986,Not Available,33982309,33982309,2574.3,366525,15 Park Row
2022,1-00090-7503,New York,Hotel,1900,1,46493783.7,46939994.5,3037.7,313980,5 Beekman Street
2022,1-00090-7504,New York,Multifamily Housing,2019,94,14235171.2,14471650.4,883,363478,25 Park Row
2022,1-00090-7505,New York,Multifamily Housing,2022,34,5906444.5,6073871.5,432.2,95285,33 Park Row
2022,1-00091-7502,New York,Multifamily Housing,1940,22,13450174.1,13450174.1,1096.5,221213,111 Fulton Street
2022,1-00092-0003,New York,Multifamily Housing,1908,Not Available,2673885.2,2726529.7,160.2,31100,165 William Street
2022,1-00092-0024,New York,Financial Office,1910,97,3223209.9,3305350.9,235.9,108793,116 Nassau St.
2022,1-00092-7501,New York,Multifamily Housing,2015,91,10069543.5,10232442.9,712.6,146890,33 Beekman Street
2022,1-00093-0034,New York,Multifamily Housing,1973,100,292630.2,290768.9,24.7,80000,57 Beekman Street
2022,1-00094-0001,New York,Multifamily Housing,1971,74,146992711.2,149931958.8,10383.2,2384399,80 Beekman Street
2022,1-00095-0027,New York,Multifamily Housing,1981,31,19128054,19484588.2,1125.6,208576,49 Fulton Street
2022,1-00095-7501,New York,Multifamily Housing,1972,70,2216509.5,2237099.5,155.3,43070,117 Beekman Street
2022,1-00100-0001,New York,Hospital (General Medical & Surgical),1953,24,95709443.9,96531739.4,7049.5,340155,170 William St
2022,1-00100-0026,New York,Multifamily Housing,1901,68,5701744.2,5894281.5,341.2,79422,140 Nassau Street
2022,1-00100-7501,New York,Multifamily Housing,1896,3,16398630.8,16560882.7,1207.1,188133,150 Nassau Street
2022,1-00101-0001,New York,Multifamily Housing,1900,44,8473698.1,8645885,540.8,111685,145 Nassau Street
2022,1-00101-0002,New York,College/University,1889,Not Available,8420544.8,8571345.8,661.7,125840,41 Park Row
2022,1-00102-0001,New York,College/University,1917,Not Available,69465307.1,69190477.8,5134.2,569027,1 Pace Plaza
2022,1-00106-0017,Seaport,Hotel,2006,65,2190561.5,2193381.3,159.8,27500,320 Pearl Street
2022,1-00106-7502,New York,Multifamily Housing,1920,69,3023163.3,3056863.3,186,38022,324 Pearl Street
2022,1-00107-0038,New York,Hotel,1900,4,4685298.6,4614768.2,333.7,39747,33 Peck Slip
2022,1-00117-0001,New York,Multifamily Housing,1960,71,36833105.8,37587336.5,2535.9,508668,165-215 Park Row
2022,1-00123-7501,New York,Office,1913,83,45442286.1,45543996.6,3638.1,988000,233 Broadway
2022,1-00123-7502,New York,Multifamily Housing,2016,16,67305055.6,67934017.3,4975.1,715320,27 Barclay St
2022,1-00124-0004,New York,Office,1926,62,16489528.4,16737068.6,1246.1,220609,11 Park Place
2022,1-00124-0011,New York,Office,1890,43,2295987.8,2269726.2,169.3,28040,25 Park Pl
2022,1-00124-0012,New York,Office,1880,Not Available,199772.6,199772.6,16.9,34456,27 Park Place
2022,1-00126-0013,New York,Multifamily Housing,1921,64,11112685.5,11052630.5,680.3,145000,53 Park Place
2022,1-00126-0027,New York,Multifamily Housing,1964,34,34975280.5,35034775.3,2486.9,663990,50 Murray Street
2022,1-00128-0002,New York,Financial Office,1983,75,92809259.8,93835130.2,10929.1,1176421,240 Greenwich St
2022,1-00128-0026,Manhattan,Office,1932,100,4745109.1,4745109.1,293.5,258000,125 Barclay Street
2022,1-00132-7501,New York,Multifamily Housing,1986,20,13353456.4,13650180.3,876.6,148675,275 Greenwich Street
2022,1-00132-7503,New York,Multifamily Housing,2001,Not Available,3531099.8,3608587.9,235.3,60415,71 Murray Street
2022,1-00133-7504,New York,Multifamily Housing,1909,Not Available,2304572.4,2326710,171.8,26620,37 Murray St
2022,1-00133-7510,New York,Mixed Use Property,1920,Not Available,1545204.8,1573875.5,100.3,35377,55 Warren Street
2022,1-00133-7511,New York,Multifamily Housing,1931,Not Available,4298885.7,4268144.9,336.3,49858,37 Warren Street
2022,1-00134-0025,New York,Multifamily Housing,1915,18,8232673.5,8426082.7,501.7,88320,"258 Broadway, New York"
2022,1-00134-7503,New York,Multifamily Housing,1900,42,7489931.8,7566733.4,589.9,120904,9 Murray Street
2022,1-00134-7504,New York,Multifamily Housing,1930,Not Available,1179902,1200081.3,76.6,30586,19-21 Warren Street
2022,1-00134-7505,New York,Multifamily Housing,2006,6,13544335,13678052.4,894.1,144330,25 Murray Street
2022,1-00135-7501,New York,Multifamily Housing,1915,65,7770517.3,7980499.3,467.5,122000,261 Broadway
2022,1-00135-7503,New York,Multifamily Housing,2005,Not Available,2294888.6,2310860.2,160.9,37765,8-10 Warren Street
2022,1-00135-7509,New York,Multifamily Housing,1900,Not Available,2071357.6,2079347.5,153.3,50964,12 Warren Street
2022,1-00136-7503,New York,Multifamily Housing,1915,Not Available,2831940.3,2851793.1,214.5,36092,60 Warren Street
2022,1-00136-7505,New York,Hotel,2007,Not Available,1955373.9,Not Available,130.3,71407,85 West Broadway
2022,1-00137-0035,New York,Multifamily Housing,1920,Not Available,3720150.6,3837811.3,224.7,51925,90 West Broadway
2022,1-00137-7502,New York,Multifamily Housing,1986,18,12668735.2,12951302.6,821,125918,295 Greenwich Street
2022,1-00140-7501,Manhattan,Multifamily Housing,1987,3,9707108,9773178.5,708.7,107190,303 Greenwich St.
2022,1-00140-7502,New York,Multifamily Housing,1988,34,6472114.2,6609281.4,416,82151,311 Greenwich St
2022,1-00140-7503,New Yok,Multifamily Housing,1930,Not Available,2859887.5,2942303.5,184.1,31781,137-143 Reade St
2022,1-00141-7504,New York,Multifamily Housing,1910,66,9274042.7,9430095.4,615.7,133937,166 Duane Street
2022,1-00142-0025,New York,Multifamily Housing,1975,4,124348165.3,126256332.4,7600.6,1112900,310 Greenwich Street / 40 Harrison Street
2022,1-00142-7501,New York,Multifamily Housing,2006,30,74653066,74970973.7,5271.5,773597,270 Greenwich Street
2022,1-00142-7502,New York,Multifamily Housing,2005,36,32290924.5,32615995,2249,481062,200 Chambers Street
2022,1-00142-7503,New York,Multifamily Housing,2016,18,35680876.8,36107955.9,2503.9,480359,111 Murray Street
2022,1-00143-0001,New York,Multifamily Housing,1910,82,3545710.8,3606596,244.7,77630,165 Duane Street
2022,1-00143-0004,New York,Multifamily Housing,1900,79,5502709.4,5619402.8,350,103768,55 Hudson St
2022,1-00143-0021,New York,Multifamily Housing,1929,34,4965325.5,5160106.7,296.3,55800,335 Greenwich Street
2022,1-00143-7501,New York,Multifamily Housing,1920,Not Available,2540079.9,2589749.6,154.7,24584,10 Jay Street
2022,1-00144-0001,New York,Multifamily Housing,1915,38,5880857.3,5841140.8,371.1,75503,16 Hudson Street
2022,1-00144-0040,New York,Data Center,1930,100,302884694.4,302129304.7,25453.8,1074536,60 Hudson Street
2022,1-00144-7502,New York,Multifamily Housing,1910,Not Available,2800131.2,2786183.6,193.6,37396,161 Duane St
2022,1-00145-7501,Manhattan,Multifamily Housing,1915,Not Available,2775579.3,2814939.1,213.8,76545,105 Chambers Street
2022,1-00145-7504,New York,Multifamily Housing,1920,56,1827032.7,1822533,129.8,36546,99 Reade Street
2022,1-00146-0017,New York,Multifamily Housing,1862,Not Available,1770288.8,1770288.8,117.3,26500,144 Duane St
2022,1-00146-0018,New York,Multifamily Housing,1920,Not Available,1256398.9,1283246.8,90.5,29500,142 Duane Street
2022,1-00146-7502,New York,Multifamily Housing,1915,Not Available,2097745.3,2139561.1,149.6,27000,150 Duane Street
2022,1-00147-7508,New York,Multifamily Housing,1915,Not Available,6976888.2,6965451.3,467.4,50762,52 Thomas St
2022,1-00148-0010,New York,Office,1915,80,7435790.6,7609226.4,590,109361,71 Thomas Street
2022,1-00148-0015,NEW YORK,Retail Store,1929,85,9227790.1,9227790.1,747.5,297678,55 Thomas Street
2022,1-00148-7501,New York,Office,1929,89,44257939.1,45016251,3554.3,756174,40 Worth Street
2022,1-00149-0012,Manhattan,Multifamily Housing,1885,Not Available,1948046.3,1998569.6,150,43338,79 Reade Street
2022,1-00149-0033,New York,Office,1900,85,6231420.5,6484700.6,403.1,97569,277 Broadway
2022,1-00149-7501,New York,Multifamily Housing,2009,50,5458946.9,5545790,347.9,87136,77 Reade Street
2022,1-00149-7502,New York,Multifamily Housing,2010,29,9002553.8,9069512.6,642.4,146039,57 Reade Street
2022,1-00149-7503,New York,Multifamily Housing,1950,Not Available,2582554.7,2599628.6,195.9,43124,71 Reade Street
2022,1-00150-0031,New York,Office,1904,88,13014720.2,12841458.8,1041.9,270564,299 Broadway
2022,1-00150-7504,New York,Multifamily Housing,1915,Not Available,1095068,1103897.1,82.7,34012,108-110 Duane Street
2022,1-00151-0001,New York,Multifamily Housing,1990,31,43572568.6,44325842,2631.2,483429,105 Duane Street
2022,1-00151-0032,New York,Office,1900,60,10033602.5,9948464,792.1,132600,305 Broadway
2022,1-00152-0025,New York,Office,1915,59,6072426.7,6243370.5,387.3,64617,325 Broadway
2022,1-00152-7501,New York,Office,1915,66,1789250.6,1808991.9,136.4,33940,321 Broadway
2022,1-00153-1001;1-00153-0001,New York,Office,1846,15,17654405.1,17857084.9,1424.1,148868,280 Broadway
2022,1-00153-7501,New York,Multifamily Housing,1910,30,11141814.8,11129475.7,898.6,208501,49 Chambers Street
2022,1-00161-0001,New York,Multifamily Housing,1965,45,25998055,Not Available,1796.3,322205,170 Park Row
2022,1-00161-0001,New York,Multifamily Housing,1965,36,26732226.5,26422572.2,1845.1,319136,170 Park Row
